昵称,点赞数,IP属地,评论
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
12321dsty,3,四川,看不懂！
张书林5252606,3,广东,名为思远，实则近视
地中海勇士,2,天津,无知和无良知是两码事
苏坡官人,2,重庆,你说是美国那就一定是俄罗斯[赞]
行者无疆0317,4,上海,先拉黑了
温柔执着的晚风,2,湖南,乌克兰是一个主权国家
顽强柳叶K4,2,贵州,作者把俄罗斯当成傻子了吗？
儒雅露珠wMl,2,北京,卧槽
云起82,2,山东,写这篇文章的人是绝对的坏！
0远方不远0,3,四川,明明乌克兰割地赔款签订不平等条约就可以和平的。
乐观的知趣人,2,四川,张嘴就来，正义呢
欧格尔电器樊兴祥七哥,3,广西,得道多助
彼得堡的肥舔鹅,10,北京,这这这…
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
张书林5252606,3,广东,名为思远，实则近视
地中海勇士,2,天津,无知和无良知是两码事
苏坡官人,2,重庆,你说是美国那就一定是俄罗斯[赞]
行者无疆0317,4,上海,先拉黑了
温柔执着的晚风,2,湖南,乌克兰是一个主权国家
顽强柳叶K4,2,贵州,作者把俄罗斯当成傻子了吗？
儒雅露珠wMl,2,北京,卧槽
云起82,2,山东,写这篇文章的人是绝对的坏！
0远方不远0,3,四川,明明乌克兰割地赔款签订不平等条约就可以和平的。
乐观的知趣人,2,四川,张嘴就来，正义呢
欧格尔电器樊兴祥七哥,3,广西,得道多助
彼得堡的肥舔鹅,10,北京,这这这…
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
地中海勇士,2,天津,无知和无良知是两码事
苏坡官人,2,重庆,你说是美国那就一定是俄罗斯[赞]
行者无疆0317,4,上海,先拉黑了
温柔执着的晚风,2,湖南,乌克兰是一个主权国家
顽强柳叶K4,2,贵州,作者把俄罗斯当成傻子了吗？
儒雅露珠wMl,2,北京,卧槽
云起82,2,山东,写这篇文章的人是绝对的坏！
0远方不远0,3,四川,明明乌克兰割地赔款签订不平等条约就可以和平的。
乐观的知趣人,2,四川,张嘴就来，正义呢
欧格尔电器樊兴祥七哥,3,广西,得道多助
彼得堡的肥舔鹅,10,北京,这这这…
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
苏坡官人,2,重庆,你说是美国那就一定是俄罗斯[赞]
行者无疆0317,4,上海,先拉黑了
温柔执着的晚风,2,湖南,乌克兰是一个主权国家
顽强柳叶K4,2,贵州,作者把俄罗斯当成傻子了吗？
儒雅露珠wMl,2,北京,卧槽
云起82,2,山东,写这篇文章的人是绝对的坏！
0远方不远0,3,四川,明明乌克兰割地赔款签订不平等条约就可以和平的。
乐观的知趣人,2,四川,张嘴就来，正义呢
欧格尔电器樊兴祥七哥,3,广西,得道多助
彼得堡的肥舔鹅,10,北京,这这这…
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
行者无疆0317,4,上海,先拉黑了
温柔执着的晚风,2,湖南,乌克兰是一个主权国家
顽强柳叶K4,2,贵州,作者把俄罗斯当成傻子了吗？
儒雅露珠wMl,2,北京,卧槽
云起82,2,山东,写这篇文章的人是绝对的坏！
0远方不远0,3,四川,明明乌克兰割地赔款签订不平等条约就可以和平的。
乐观的知趣人,2,四川,张嘴就来，正义呢
欧格尔电器樊兴祥七哥,3,广西,得道多助
彼得堡的肥舔鹅,10,北京,这这这…
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
温柔执着的晚风,2,湖南,乌克兰是一个主权国家
顽强柳叶K4,2,贵州,作者把俄罗斯当成傻子了吗？
儒雅露珠wMl,2,北京,卧槽
云起82,2,山东,写这篇文章的人是绝对的坏！
0远方不远0,3,四川,明明乌克兰割地赔款签订不平等条约就可以和平的。
乐观的知趣人,2,四川,张嘴就来，正义呢
欧格尔电器樊兴祥七哥,3,广西,得道多助
彼得堡的肥舔鹅,10,北京,这这这…
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
顽强柳叶K4,2,贵州,作者把俄罗斯当成傻子了吗？
儒雅露珠wMl,2,北京,卧槽
云起82,2,山东,写这篇文章的人是绝对的坏！
0远方不远0,3,四川,明明乌克兰割地赔款签订不平等条约就可以和平的。
乐观的知趣人,2,四川,张嘴就来，正义呢
欧格尔电器樊兴祥七哥,3,广西,得道多助
彼得堡的肥舔鹅,10,北京,这这这…
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
儒雅露珠wMl,2,北京,卧槽
云起82,2,山东,写这篇文章的人是绝对的坏！
0远方不远0,3,四川,明明乌克兰割地赔款签订不平等条约就可以和平的。
乐观的知趣人,2,四川,张嘴就来，正义呢
欧格尔电器樊兴祥七哥,3,广西,得道多助
彼得堡的肥舔鹅,10,北京,这这这…
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
云起82,2,山东,写这篇文章的人是绝对的坏！
0远方不远0,3,四川,明明乌克兰割地赔款签订不平等条约就可以和平的。
乐观的知趣人,2,四川,张嘴就来，正义呢
欧格尔电器樊兴祥七哥,3,广西,得道多助
彼得堡的肥舔鹅,10,北京,这这这…
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
0远方不远0,3,四川,明明乌克兰割地赔款签订不平等条约就可以和平的。
乐观的知趣人,2,四川,张嘴就来，正义呢
欧格尔电器樊兴祥七哥,3,广西,得道多助
彼得堡的肥舔鹅,10,北京,这这这…
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
乐观的知趣人,2,四川,张嘴就来，正义呢
欧格尔电器樊兴祥七哥,3,广西,得道多助
彼得堡的肥舔鹅,10,北京,这这这…
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
英明果断明镜Dt,2,福建,人们有思想
欧格尔电器樊兴祥七哥,3,广西,得道多助
彼得堡的肥舔鹅,10,北京,这这这…
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
英明果断明镜Dt,2,福建,人们有思想
鲁牛牛5,2,四川,我的天[流泪][流泪][流泪]
彼得堡的肥舔鹅,10,北京,这这这…
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
英明果断明镜Dt,2,福建,人们有思想
鲁牛牛5,2,四川,我的天[流泪][流泪][流泪]
亚细亚之缘,8,江苏,这是摊牌了吗？向美利坚合众国宣战
一条想飞的魚,2,安徽,要有底线和基本的良知！
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
英明果断明镜Dt,2,福建,人们有思想
鲁牛牛5,2,四川,我的天[流泪][流泪][流泪]
亚细亚之缘,8,江苏,这是摊牌了吗？向美利坚合众国宣战
罗纳尔多夫司机,3,湖北,俄罗斯只打赌过一个国家
云外苍天WUvo,2,四川,小编有俄罗斯血统。
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
英明果断明镜Dt,2,福建,人们有思想
鲁牛牛5,2,四川,我的天[流泪][流泪][流泪]
亚细亚之缘,8,江苏,这是摊牌了吗？向美利坚合众国宣战
罗纳尔多夫司机,3,湖北,俄罗斯只打赌过一个国家
疯狂的农民80,2,湖南,什么时候盲人也会上网写文章了
热斗小马,2,广东,连基本认知和良知都没有就别发文章
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
英明果断明镜Dt,2,福建,人们有思想
鲁牛牛5,2,四川,我的天[流泪][流泪][流泪]
亚细亚之缘,8,江苏,这是摊牌了吗？向美利坚合众国宣战
罗纳尔多夫司机,3,湖北,俄罗斯只打赌过一个国家
疯狂的农民80,2,湖南,什么时候盲人也会上网写文章了
风之语A99102,2,重庆,[捂脸]
七世纠缠,2,四川,美国这么坏，，，俄罗斯该去打美国，，打小小的乌克兰算什么？
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
英明果断明镜Dt,2,福建,人们有思想
鲁牛牛5,2,四川,我的天[流泪][流泪][流泪]
亚细亚之缘,8,江苏,这是摊牌了吗？向美利坚合众国宣战
罗纳尔多夫司机,3,湖北,俄罗斯只打赌过一个国家
疯狂的农民80,2,湖南,什么时候盲人也会上网写文章了
风之语A99102,2,重庆,[捂脸]
零点地铁123456,2,江苏,卧槽
心在遥远1027,2,河南,作为官方媒体，这样发合适吗
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
英明果断明镜Dt,2,福建,人们有思想
鲁牛牛5,2,四川,我的天[流泪][流泪][流泪]
亚细亚之缘,8,江苏,这是摊牌了吗？向美利坚合众国宣战
罗纳尔多夫司机,3,湖北,俄罗斯只打赌过一个国家
疯狂的农民80,2,湖南,什么时候盲人也会上网写文章了
风之语A99102,2,重庆,[捂脸]
零点地铁123456,2,江苏,卧槽
端庄优雅云朵XLu,3,四川,有点假
家有丁有康,2,湖北,好像不妥[捂脸]
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
英明果断明镜Dt,2,福建,人们有思想
鲁牛牛5,2,四川,我的天[流泪][流泪][流泪]
亚细亚之缘,8,江苏,这是摊牌了吗？向美利坚合众国宣战
罗纳尔多夫司机,3,湖北,俄罗斯只打赌过一个国家
疯狂的农民80,2,湖南,什么时候盲人也会上网写文章了
风之语A99102,2,重庆,[捂脸]
零点地铁123456,2,江苏,卧槽
端庄优雅云朵XLu,3,四川,有点假
有趣的山丘7l,2,广西,俄罗斯的国际问题观察员
进取西柚USc,4,广西,一切后果美方承担，一切责任美方负责[笑哭]
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
英明果断明镜Dt,2,福建,人们有思想
鲁牛牛5,2,四川,我的天[流泪][流泪][流泪]
亚细亚之缘,8,江苏,这是摊牌了吗？向美利坚合众国宣战
罗纳尔多夫司机,3,湖北,俄罗斯只打赌过一个国家
疯狂的农民80,2,湖南,什么时候盲人也会上网写文章了
风之语A99102,2,重庆,[捂脸]
零点地铁123456,2,江苏,卧槽
端庄优雅云朵XLu,3,四川,有点假
有趣的山丘7l,2,广西,俄罗斯的国际问题观察员
隐士陶渊明世人,4,江西,呵呵
坦荡自在的勇往直前,3,辽宁,还有哪些国家？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
英明果断明镜Dt,2,福建,人们有思想
鲁牛牛5,2,四川,我的天[流泪][流泪][流泪]
亚细亚之缘,8,江苏,这是摊牌了吗？向美利坚合众国宣战
罗纳尔多夫司机,3,湖北,俄罗斯只打赌过一个国家
疯狂的农民80,2,湖南,什么时候盲人也会上网写文章了
风之语A99102,2,重庆,[捂脸]
零点地铁123456,2,江苏,卧槽
端庄优雅云朵XLu,3,四川,有点假
有趣的山丘7l,2,广西,俄罗斯的国际问题观察员
隐士陶渊明世人,4,江西,呵呵
高贵远山EiY,1,甘肃,就问一句，乌克兰是不是一个主权国家？？？
天津市馨佳业科技发展有限公司,4,天津,看来俄罗斯的战争前景不乐观啊！
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
英明果断明镜Dt,2,福建,人们有思想
鲁牛牛5,2,四川,我的天[流泪][流泪][流泪]
亚细亚之缘,8,江苏,这是摊牌了吗？向美利坚合众国宣战
罗纳尔多夫司机,3,湖北,俄罗斯只打赌过一个国家
疯狂的农民80,2,湖南,什么时候盲人也会上网写文章了
风之语A99102,2,重庆,[捂脸]
零点地铁123456,2,江苏,卧槽
端庄优雅云朵XLu,3,四川,有点假
有趣的山丘7l,2,广西,俄罗斯的国际问题观察员
隐士陶渊明世人,4,江西,呵呵
高贵远山EiY,1,甘肃,就问一句，乌克兰是不是一个主权国家？？？
Magic_晓峰,2,北京,确定是漂亮国吗
张sir5890,7,河北,美事履行条约
杭州恒荣,2,浙江,鬼话说多了自己都信了
自在火山,12,湖南,狗头军师一枚[捂脸]美国人挖的坑一定要跳进去？
积极的无名人,1,江西,看到支持乌克兰的评论获得这么多的点赞，我真的非常非常高兴！！
自在面条S4r,2,北京,无知的人才能写出这样的文章。
深见月,2,辽宁,美国拱火俄乌战争？[捂脸]俄罗斯听美国的嘛？
零点4850,5,广东,呵呵
英明果断明镜Dt,2,福建,人们有思想
鲁牛牛5,2,四川,我的天[流泪][流泪][流泪]
亚细亚之缘,8,江苏,这是摊牌了吗？向美利坚合众国宣战
罗纳尔多夫司机,3,湖北,俄罗斯只打赌过一个国家
疯狂的农民80,2,湖南,什么时候盲人也会上网写文章了
风之语A99102,2,重庆,[捂脸]
零点地铁123456,2,江苏,卧槽
端庄优雅云朵XLu,3,四川,有点假
有趣的山丘7l,2,广西,俄罗斯的国际问题观察员
